nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas,Motivo
"Rodrigo Parra Adame",3.763.600,2,ropaad@marmol.ceele,Rodrigoadame,oCzMT1HV,"+56 9 9413 4683",4509,62294,"Salida con Familia",537589,2025/01/20,1176000,8,"Mail Invalido!"
"Pedro Gonzalez honorato",3.763.600,2,pedro.marmol.cl,Rodrigoadame,oCzMT1HV,"+56 9 9413 4683",4509,62294,"Salida con Familia",537589,2025/01/20,1176000,8,"Mail Invalido!"
"Ana Sierra Benavídez",1722271,6,AnabenavOAdez@edubus.ceele,ansibe,hBzp14EYD9W,"+56 2 9073 3130",1189,66017,"Salida con Familia",537621,2025-02-05,1032000,6,"Mail Invalido!"
"Verónica Yáñez Aragón",28148325,0,veyOear@@edubus.cal,verónica6959,JBGaXslPt5ct2,"+56 9 6568 7111",6050,67734,Vacaciones,536195,2025-01-21,365000,5,"Mail Invalido!"
"Javier Barrios Partida",7.129.015,8,,Javierpartida,,,,62478,,536213,2025/01/19,396000,9,"Campo vacio"
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.ceele,jorge3958,Cu98ekEN1VCjp,"+56 9 9525 0318",7290,68425,"Salida con Familia",536230,2026/05/12,-630000,5,"Mail Invalido!"
"Dolores Estévez Caldera",12277984,0,,doesca,DRj9nPfijLq584MD,,892,,,536280,2025-04-19,158000,,"Campo vacio"
"Esteban Robles Godoy",29.046.506,0,,esteban9301,,,9443,66951,,536299,2025-01-06,,1,"Campo vacio"
"Blanca Gallegos Montaño",931793,7,BlancamontaO�o@wass.ceele,blgamo,BOuitj1yal3e26T,"+56 2 4797 2226",3858,65420,Vacaciones,536305,2026-01-12,-178000,2,"Mail Invalido!"
"Felipe Godínez Segovia",21376206,0,fegose@@viajesanma.com,fegose,J3mv8GarwmXP3ls,"+56 9 0054 6063",6459,71613,"Salida con Familia",536323,2025-11-11,1211000,7,"Mail Invalido!"
"Felipe Godínez Segovia",21376206,0,fegose@@viajesanma.com,fegose,J3mv8GarwmXP3ls,+56-9-0054-6063,6459,71613,"Salida con Familia",536324,2026/01/23,861000,7,"Mail Invalido!"
"Sta. Rodrigo Ramos Vallejo",3773089,0,Sta.vallejo@@tourket.com,strorava,z5yk0z9z1hAO,"+56 2 5778 1583",1328,62494,"Salida con Familia",536333,2026/03/15,330000,2,"Mail Invalido!"
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@@outluc.com,alfrga,Eh484WYgHwyf,"+56 9 6508 3119",2923,71671,Vacaciones,536342,2026-06-11,380000,2,"Mail Invalido!"
"Virginia Rocha Nazario",5034579,3,virona@marmol.ceele,virona,VnuAi1Br7,+56-2-2354-1776,3927,66088,Vacaciones,536396,2025-04-03,1407000,7,"Mail Invalido!"
"Alejandro Gaitán Piña",20167844,7,AlejandropiO�a@viajesanma.ceele,Alejandropiña,t5v8cfm7G9IObk,"+56 9 9065 1717",322,71624,"Cena de Trabajo",536404,2025-02-14,-406000,2,"Mail Invalido!"
"Sr. Víctor Fajardo Romero",18763137,8,srvOAfaro@marmol.ceele,srvífaro,63ykvBTd,"+56 2 6746 0340",2540,70574,Vacaciones,536418,2026-06-28,369000,9,"Mail Invalido!"
"Sta. Ariadna Tapia Barreto",,9,startaba@viajesanma.com,sta.4934,,,1520,64660,"Salida con Familia",,,70000,2,"Campo vacio"
"Diego Espinosa Espinosa",9907928,2,diego3113@outluc.ceele,diego6689,xVDxrcH95nl3p,"+56 9 0420 5617",920,63285,"Cena de Trabajo",536429,2025-03-16,153000,1,"Mail Invalido!"
"Vicente Gaitán Fajardo",,0,Vicentefajardo@outluc.com,,,"+56 2 4722 4397",,70427,"Cena de Trabajo",536431,2025-02-15,,8,"Campo vacio"
"Arturo Duarte Bonilla",15.808.833,9,ardubo@tourket.ceele,ardubo,goEFyFwpE7Iy,"+56 2 2866 7678",8330,66706,"Cena de Trabajo",536450,2025-02-26,1548000,9,"Mail Invalido!"
"Rocio Macías Tórrez",21763095,9,romatOI@marmol.ceele,rocio7442,bP37bhJIrNRMszX,"+56 9 2986 3860",9702,62035,Aniversario,536485,2025/05/30,-1719000,9,"Mail Invalido!"
"Javier Montalvo Cervantes",226232,0,javier2171@viajesanma.ceele,Javiercervantes,3sMLI1uaUaEjdP,"+56 2 1101 8712",7542,69257,Aniversario,536501,2025-12-25,1332000,4,"Mail Invalido!"
"Hernán Ornelas Méndez",21083368,4,hernOen2484@wass.ceele,Hernánméndez,pUByqu3h,"+56 9 9269 7285",5195,64148,Vacaciones,536513,2025-12-08,-702000,9,"Mail Invalido!"
,5015225,1,Rosariosauceda@@tourket.com,,3UfOERbFwkIUtQ,"+56 9 6697 4218",,,Vacaciones,536521,2025-01-08,1629000,,"Campo vacio"
,21346642,9,stjomupe@wass.com,,,,3384,65026,,536528,2026-03-20,672000,2,"Campo vacio"
"Andrés Heredia Farías",1.216.311,8,andrOos2663@edubus.ceele,anhefa,CSzKy7etW0S,"+56 9 0785 1443",4301,69010,"Salida con Familia",536541,2026-02-05,440000,5,"Mail Invalido!"
"Sr. Vicente Armendáriz Alva",5828697,4,Sr.alva@wass.ceele,Sr.alva,OPq5Z0oC,+56-2-5147-9399,6040,61940,Aniversario,536555,2025-02-21,4239000,9,"Mail Invalido!"
"Sara Quiñones Huerta",6114691,1,sara8578@@tourket.com,sara1722,u61QZJrt,"+56 9 1265 7493",2916,66946,"Salida con Amigos",536568,2025/09/07,1020000,10,"Mail Invalido!"
"Rubén Beltrán Cintrón",2.773.700,5,rubeci@marmol.ceele,rubeci,zDZTZtbHPkk6Iq2K,"+56 2 0534 2773",9359,70888,"Cena de Trabajo",536570,2025-09-04,121000,1,"Mail Invalido!"
"Amalia Griego Olivárez",5860282,,AmaliaolivOerez@viajesanma.com,amalia1580,dxvYf4IlHkya2,,,67675,Aniversario,536591,,783000,,"Campo vacio"
"Horacio Mena Pelayo",20319615,6,homepe@@viajesanma.com,Horaciopelayo,h2Mn9Fyqhz,"+56 2 6089 2994",8655,68938,"Salida con Familia",536596,2025-02-14,140000,4,"Mail Invalido!"
,11462568,0,Samuelserna@tourket.com,sapese,,"+56 2 9886 4414",,61579,"Salida con Familia",,2025-05-15,,1,"Campo vacio"
