nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto
"Rodrigo Parra Adame",3763600,2,ropaad@marmol.com,oCzMT1HV,Rodrigoadame,+56994134683
"Luz Zavala Velásquez",7025412,3,LuzvelOesquez@marmol.com,eVmoWeXdE8UdKN3m,luz2888,+56233402787
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,+56961913372
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,+56961913372
"Ana Sierra Benavídez",1722271,6,AnabenavOAdez@edubus.cal,hBzp14EYD9W,ansibe,+56290733130
"Verónica Yáñez Aragón",28148325,0,veyOear@edubus.cal,JBGaXslPt5ct2,verónica6959,+56965687111
"Verónica Yáñez Aragón",28148325,0,veyOear@edubus.cal,JBGaXslPt5ct2,verónica6959,+56965687111
"Verónica Yáñez Aragón",28148325,0,veyOear@edubus.cal,JBGaXslPt5ct2,verónica6959,+56965687111
"Sancho Corral Grijalva",15695071,8,Sanchogrijalva@wass.com,4FpjEN0w2,Sanchogrijalva,+56917623200
"José Urías Arce",22594065,7,JosOoarce@wass.com,FO3hK5sAr60tM3Qv,jourar,+56910113842
"José Urías Arce",22594065,7,JosOoarce@wass.com,FO3hK5sAr60tM3Qv,jourar,+56910113842
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,+56220301743
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,+56220301743
"Miguel Ángel Lozada Cabrera",8904137,6,Miguelcabrera@outluc.com,8A22Hx2rzPv8,Miguelcabrera,+56927113385
"Gregorio Navarrete Lomeli",18280298,0,grnalo@edubus.cal,YJZzx84C,Gregoriolomeli,+56936628276
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.com,Cu98ekEN1VCjp,jorge3958,+56995250318
"Jorge Medrano Rubio",19923408,0,Jorgerubio@viajesanma.com,Cu98ekEN1VCjp,jorge3958,+56995250318
"Sra. Barbara Badillo Manzanares",10409330,2,Sra.manzanares@wass.com,JybLcTOd0PsPOgQ,sra.5162,+56912534997
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,+56297638895
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,+56297638895
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,4N7Das6S0zIa,antonio6129,+56242174189
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,4N7Das6S0zIa,antonio6129,+56242174189
"Antonio Archuleta Nájera",25034801,0,anarnOe@marmol.com,4N7Das6S0zIa,antonio6129,+56242174189
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,+56965471215
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,+56965471215
"Raquel Elizondo Solís",6013756,0,raquel2524@tourket.com,x2VPsyIR8,raquel4703,+56236542641
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,+56942576107
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,+56942576107
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,+56942576107
"Dolores Estévez Caldera",12277984,0,dolores9456@edubus.cal,DRj9nPfijLq584MD,doesca,+56903557055
"Dolores Estévez Caldera",12277984,0,dolores9456@edubus.cal,DRj9nPfijLq584MD,doesca,+56903557055
"Dolores Estévez Caldera",12277984,0,dolores9456@edubus.cal,DRj9nPfijLq584MD,doesca,+56903557055
"Esteban Robles Godoy",29046506,0,Estebangodoy@marmol.com,O70v99F9zsNe,esteban9301,+56948493673
"Esteban Robles Godoy",29046506,0,Estebangodoy@marmol.com,O70v99F9zsNe,esteban9301,+56948493673
